전철역명,전철역명_영문,호선,주소,위도,경도
가산디지털단지,Gasan Digital Complex,1,서울특별시 금천구 벚꽃로 309,37.481072,126.882343
개봉,Gaebong,1,서울특별시 구로구 경인로40길 47,37.494594,126.85868
광운대,Kwangwoon Univ.,1,서울특별시 노원구 석계로 98-2,37.623632,127.06183500000002
구로,Guro,1,서울특별시 구로구 구로중앙로 174,37.503039,126.881966
구일,Guil,1,서울특별시 구로구 구일로 133,37.496756,126.870793
금천구청,Geumcheon-Gu Office,1,서울특별시 금천구 시흥대로63길 91,37.455626,126.89398
남영,Namyeong,1,서울특별시 용산구 한강대로77길 25,37.541021,126.9713
노량진,Noryangjin,1,서울특별시 동작구 노량진로 151,37.514219,126.942454
녹천,Nokcheon,1,서울특별시 도봉구 덕릉로 376,37.644799,127.051269
대방,Daebang,1,서울특별시 영등포구 여의대방로 300,37.513342,126.926382
도봉,Dobong,1,서울특별시 도봉구 도봉로170길 2,37.679563,127.045595
도봉산,Dobongsan,1,서울특별시 도봉구 도봉로 964-33,37.689313,127.046222
독산,Doksan,1,서울특별시 금천구 벚꽃로 115,37.466613,126.889249
동대문,Dongdaemun,1,서울특별시 종로구 종로 지하 302,37.57142,127.009745
동묘앞,Dongmyo,1,서울특별시 종로구 종로 359,37.572627,127.016429
방학,Banghak,1,서울특별시 도봉구 도봉로150다길 3,37.667503,127.044273
서울,Seoul,1,서울특별시 중구 세종대로 지하 2,37.554648,126.972559
석계,Seokgye,1,서울특별시 노원구 화랑로 341,37.614805,127.065851
시청,City Hall,1,서울특별시 중구 세종대로 지하 101,37.564718,126.977108
신길,Singil,1,서울특별시 영등포구 영등포로 327,37.517122,126.917169
신도림,Sindorim,1,서울특별시 구로구 새말로 117-21,37.508725,126.891295
신설동,Sinseol-dong,1,서울특별시 동대문구 왕산로 지하 1,37.575297,127.025087
신이문,Sinimun,1,서울특별시 동대문구 한천로 472,37.601854,127.067325
영등포,Yeongdeungpo,1,서울특별시 영등포구 경인로 846,37.515504,126.907628
오류동,Oryu-dong,1,서울특별시 구로구 경인로20길 13,37.494526,126.845365
온수,Onsu,1,서울특별시 구로구 부일로 872,37.492258,126.823388
외대앞,Hankuk Univ. of Foreign Studies,1,서울특별시 동대문구 휘경로 27,37.596073,127.063549
용산,Yongsan,1,서울특별시 용산구 한강대로23길 55,37.529849,126.964561
월계,Wolgye,1,서울특별시 노원구 월계로53길 40,37.633212,127.058831
제기동,Jegi-dong,1,서울특별시 동대문구 왕산로 지하 93,37.57810300000001,127.034893
종각,Jonggak Station,1,서울특별시 종로구 종로 지하 55,37.570161,126.982923
종로3가,Jongno 3(sam)-ga,1,서울특별시 종로구 종로 지하 129,37.571607,126.991806
종로5가,Jongno 5(o)-ga,1,서울특별시 종로구 종로 지하 216,37.570926,127.001849
창동,Chang-dong,1,서울특별시 도봉구 마들로11길 77,37.653166,127.047731
청량리,Cheongnyangni,1,서울특별시 동대문구 왕산로 지하 205,37.580178,127.04683500000002
회기,Hoegi,1,서울특별시 동대문구 회기로 196,37.58946,127.057583
강남,Gangnam,2,서울특별시 강남구 강남대로 지하 396,37.497175,127.027926
강변,Gangbyeon,2,서울특별시 광진구 강변역로 53,37.535095,127.094681
건대입구,Konkuk Univ.,2,서울특별시 광진구 아차산로 243,37.540693,127.07023
교대,Seoul Nat'l Univ. of Education,2,서울특별시 서초구 서초대로 지하 294,37.493415,127.01408
구로디지털단지,Guro Digital Complex,2,서울특별시 구로구 도림천로 477,37.485266,126.901401
구의,Guui,2,서울특별시 광진구 아차산로 384-1,37.537077,127.085916
까치산,Kkachisan,2,서울특별시 강서구 강서로 지하 54,37.531768,126.846683
낙성대,Nakseongdae,2,서울특별시 관악구 남부순환로 지하 1928,37.47693,126.963693
당산,Dangsan,2,서울특별시 영등포구 당산로 229,37.53438,126.902281
대림,Daerim,2,서울특별시 구로구 도림천로 351,37.49297,126.895801
도림천,Dorimcheon,2,서울특별시 구로구 경인로67길 160,37.514287,126.882768
동대문역사문화공원,Dongdaemun History and Culture Park,2,서울특별시 중구 을지로 지하 279,37.565138,127.007896
뚝섬,Ttukseom,2,서울특별시 성동구 아차산로 18,37.547184,127.047367
문래,Mullae,2,서울특별시 영등포구 당산로 지하 28,37.517933,126.89476
방배,Bangbae,2,서울특별시 서초구 방배로 지하 80,37.481426,126.997596
봉천,Bongcheon,2,서울특별시 관악구 남부순환로 지하 1721,37.482362,126.941892
사당,Sadang,2,서울특별시 동작구 남부순환로 지하 2089,37.47653,126.981685
삼성,Samseong,2,서울특별시 강남구 테헤란로 지하 538,37.508844,127.06316
상왕십리,Sangwangsimni,2,서울특별시 성동구 왕십리로 지하 374,37.564354,127.029354
서울대입구,Seoul Nat'l Univ.,2,서울특별시 관악구 남부순환로 지하 1822,37.481247,126.952739
서초,Seocho,2,서울특별시 서초구 서초대로 지하 233,37.491897,127.007917
선릉,Seolleung,2,서울특별시 강남구 테헤란로 지하 340,37.504503,127.049008
성수,Seongsu,2,서울특별시 성동구 아차산로 100,37.544581,127.055961
신답,Sindap,2,서울특별시 성동구 천호대로 232,37.57004000000001,127.046481
신당,Sindang,2,서울특별시 중구 퇴계로 지하 431-1,37.565972,127.01782
신대방,Sindaebang,2,서울특별시 동작구 대림로 2,37.487462,126.913149
신림,Sillim,2,서울특별시 관악구 남부순환로 지하 1614,37.484201,126.929715
신정네거리,Sinjeongnegeori,2,서울특별시 양천구 중앙로 지하 261,37.520074,126.85291200000002
신촌,Sinchon,2,서울특별시 마포구 신촌로 지하 90,37.555134,126.936893
아현,Ahyeon,2,서울특별시 마포구 신촌로 지하 270,37.557345,126.956141
양천구청,Yangcheon-gu Office,2,서울특별시 양천구 목동로3길 지하 33,37.512398,126.865819
역삼,Yeoksam,2,서울특별시 강남구 테헤란로 지하 156,37.500622,127.036456
영등포구청,Yeongdeungpo-gu Office,2,서울특별시 영등포구 당산로 지하 121,37.52497,126.895951
왕십리,Wangsimni,2,서울특별시 성동구 왕십리로 지하 300,37.561533,127.037732
용답,Yongdap,2,서울특별시 성동구 용답길 86,37.561904,127.050899
용두,Yongdu,2,서울특별시 동대문구 천호대로 지하 129,37.57402800000001,127.038091
을지로3가,Euljiro 3(sam)-ga,2,서울특별시 중구 을지로 지하 106,37.566295,126.99191
을지로4가,Euljiro 4(sa)-ga,2,서울특별시 중구 을지로 지하 178,37.566941,126.998079
을지로입구,Euljiro 1(il)-ga,2,서울특별시 중구 을지로 지하 42,37.566014,126.982618
이대,Ewha Womans Univ.,2,서울특별시 마포구 신촌로 지하 180,37.556733,126.946013
잠실,Jamsil,2,서울특별시 송파구 올림픽로 지하 265,37.51395,127.102234
잠실나루,Jamsillaru,2,서울특별시 송파구 오금로 20,37.520733,127.10379
잠실새내,Jamsilsaenae,2,서울특별시 송파구 올림픽로 지하 140,37.511687,127.08616200000002
종합운동장,Sports Complex,2,서울특별시 송파구 올림픽로 지하 23,37.510997,127.073642
충정로,Chungjeongno,2,서울특별시 서대문구 서소문로 지하 17,37.559973,126.963672
한양대,Hanyang Univ.,2,서울특별시 성동구 왕십리로 206,37.555273,127.043655
합정,Hapjeong,2,서울특별시 마포구 양화로 지하 55,37.549463,126.913739
홍대입구,Hongik Univ.,2,서울특별시 마포구 양화로 지하 160,37.557192,126.925381
가락시장,Garak Market,3,서울특별시 송파구 송파대로 지하 257,37.492522,127.11823400000002
경복궁,Gyeongbokgung,3,서울특별시 종로구 사직로 지하 130,37.575762,126.97353
경찰병원,National Police Hospital,3,서울특별시 송파구 중대로 지하 149,37.495918,127.12454
고속터미널,Express Bus Terminal,3,서울특별시 서초구 신반포로 지하 188,37.50481,127.004943
구파발,Gupabal,3,서울특별시 은평구 진관2로 지하 15-25,37.636763,126.918821
금호,Geumho,3,서울특별시 성동구 동호로 지하 104,37.548034,127.015872
남부터미널,Nambu Bus Terminal,3,서울특별시 서초구 서초중앙로 지하 31,37.485013,127.01618899999998
녹번,Nokbeon,3,서울특별시 은평구 통일로 지하 602-1,37.600927,126.935756
대청,Daecheong,3,서울특별시 강남구 일원로 지하 2,37.49351400000001,127.079532
대치,Daechi,3,서울특별시 강남구 남부순환로 지하 2952,37.494612,127.063642
도곡,Dogok,3,서울특별시 강남구 남부순환로 지하 2814,37.490858,127.055381
독립문,Dongnimmun,3,서울특별시 서대문구 통일로 지하 247,37.574571,126.957748
동대입구,Dongguk Univ.,3,서울특별시 중구 동호로 지하 256,37.559052,127.005602
매봉,Maebong,3,서울특별시 강남구 남부순환로 지하 2744,37.486947,127.046769
무악재,Muakjae,3,서울특별시 서대문구 통일로 지하 361,37.582299,126.950291
불광,Bulgwang,3,서울특별시 은평구 통일로 지하 723-1,37.610469,126.929887
수서,Suseo,3,서울특별시 강남구 광평로 지하 270,37.487371,127.10188
신사,Sinsa,3,서울특별시 강남구 도산대로 지하 102,37.516334,127.020114
안국,Anguk,3,서울특별시 종로구 율곡로 지하 62,37.576477,126.985443
압구정,Apgujeong,3,서울특별시 강남구 압구정로 지하 172,37.527072,127.028461
약수,Yaksu,3,서울특별시 중구 다산로 지하 122,37.55434,127.010655
양재,Yangjae,3,서울특별시 서초구 남부순환로 지하 2585,37.484147,127.034631
연신내,Yeonsinnae,3,서울특별시 은평구 통일로 지하 849,37.619001,126.921008
오금,Ogeum,3,서울특별시 송파구 오금로 지하 321,37.502162,127.128111
옥수,Oksu,3,서울특별시 성동구 동호로 지하 21,37.540685,127.017965
일원,Irwon,3,서울특별시 강남구 일원로 지하 121,37.483681,127.08438999999998
잠원,Jamwon,3,서울특별시 서초구 잠원로4길 지하 46,37.512759,127.01122
충무로,Chungmuro,3,서울특별시 중구 퇴계로 지하 199,37.561243,126.99428
학여울,Hangnyeoul,3,서울특별시 강남구 남부순환로 지하 3104,37.496663,127.070594
홍제,Hongje,3,서울특별시 서대문구 통일로 지하 440-1,37.589066,126.94373600000002
길음,Gireum,4,서울특별시 성북구 동소문로 지하 248,37.603407,127.025053
남태령,Namtaeryeong,4,서울특별시 서초구 과천대로 지하 816,37.463873,126.989134
노원,Nowon,4,서울특별시 노원구 상계로 69-1,37.65512800000001,127.061368
당고개,Danggogae,4,서울특별시 노원구 상계로 305,37.670272,127.079066
동작,Dongjak,4,서울특별시 동작구 현충로 257,37.502971,126.979306
명동,Myeong-dong,4,서울특별시 중구 퇴계로 지하 126,37.560989,126.986325
미아,Mia,4,서울특별시 강북구 도봉로 지하 198,37.62667,127.025983
미아사거리,Miasageori,4,서울특별시 강북구 도봉로 지하 50,37.613292,127.030053
삼각지,Samgakji,4,서울특별시 용산구 한강대로 지하 180,37.53477700000001,126.97311
상계,Sanggye,4,서울특별시 노원구 상계로 182,37.660878,127.073572
성신여대입구,Sungshin Women's Univ.,4,서울특별시 성북구 동소문로 지하 102,37.592624,127.016403
수유,Suyu,4,서울특별시 강북구 도봉로 지하 338,37.638052,127.025732
숙대입구,Sookmyung Women's Univ.,4,서울특별시 용산구 한강대로 지하 306,37.54456,126.972106
신용산,Sinyongsan,4,서울특별시 용산구 한강대로 지하 112,37.52917,126.967894
쌍문,Ssangmun,4,서울특별시 도봉구 도봉로 지하 486-1,37.64862700000001,127.034709
이촌,Ichon,4,서울특별시 용산구 서빙고로 지하 83,37.522272,126.974345
총신대입구(이수),Chongshin Univ.,4,서울특별시 동작구 동작대로 지하 117,37.486263,126.98198899999998
한성대입구,Hansung Univ.,4,서울특별시 성북구 삼선교로 지하 1,37.588458,127.006221
혜화,Hyehwa,4,서울특별시 종로구 대학로 지하 120,37.582336,127.001844
회현,Hoehyeon,4,서울특별시 중구 퇴계로 지하 54,37.558514,126.978246
강동,Gangdong,5,서울특별시 강동구 천호대로 지하 1097,37.535804,127.132481
개롱,Gaerong,5,서울특별시 송파구 오금로 지하 402,37.498079,127.13482
개화산,Gaehwasan,5,서울특별시 강서구 양천로 22,37.572399,126.806171
거여,Geoyeo,5,서울특별시 송파구 오금로 지하 499,37.493105,127.14415
고덕,Godeok,5,서울특별시 강동구 고덕로 지하 253,37.555004,127.154151
공덕,Gongdeok,5,서울특별시 마포구 마포대로 지하 100,37.544018,126.951592
광나루,Gwangnaru,5,서울특별시 광진구 아차산로 지하 571,37.545303,127.10357
광화문,Gwanghwamun,5,서울특별시 종로구 세종대로 지하 172,37.571026,126.976669
군자,Gunja,5,서울특별시 광진구 천호대로 지하 550,37.557121,127.079542
굽은다리,Gubeundari,5,서울특별시 강동구 양재대로 지하 1572,37.54547700000001,127.142853
길동,Gil-dong,5,서울특별시 강동구 양재대로 지하 1480,37.537801,127.140004
김포공항,Gimpo Int'I Airport,5,서울특별시 강서구 하늘길 지하 77,37.562434,126.801058
답십리,Dapsimni,5,서울특별시 성동구 천호대로 지하 300,37.566747,127.052704
둔촌동,Dunchon-dong,5,서울특별시 강동구 양재대로 지하 1369,37.527788,127.136248
마곡,Magok,5,서울특별시 강서구 공항대로 지하 163,37.560183,126.825448
마장,Majang,5,서울특별시 성동구 마장로 지하 296,37.5661,127.042973
마천,Macheon,5,서울특별시 송파구 마천로57길 지하 7,37.49499,127.152781
마포,Mapo,5,서울특별시 마포구 마포대로 지하 33,37.539574,126.945932
명일,Myeongil,5,서울특별시 강동구 양재대로 지하 1632,37.55137,127.143999
목동,Mok-dong,5,서울특별시 양천구 오목로 지하 245,37.526065,126.864931
발산,Balsan,5,서울특별시 강서구 공항대로 지하 267,37.558598,126.837668
방이,Bangi,5,서울특별시 송파구 양재대로 지하 1127,37.508857,127.126133
방화,Banghwa,5,서울특별시 강서구 금낭화로 지하 132,37.577446,126.812741
상일동,Sangil-dong,5,서울특별시 강동구 고덕로 지하 359,37.556712,127.166417
서대문,Seodaemun,5,서울특별시 종로구 통일로 지하 126,37.565773,126.966641
송정,Songjeong,5,서울특별시 강서구 공항대로 지하 33,37.561184,126.811973
신금호,Singeumho,5,서울특별시 성동구 금호로 지하 154,37.554548,127.020331
신정,Sinjeong,5,서울특별시 양천구 오목로 지하 179,37.524997,126.856191
아차산,Achasan,5,서울특별시 광진구 천호대로 지하 657,37.551691,127.089761
애오개,Aeogae,5,서울특별시 마포구 마포대로 지하 210,37.553736,126.95682
양평,Yangpyeong,5,서울특별시 영등포구 양산로 지하 21,37.525648,126.885778
여의나루,Yeouinaru,5,서울특별시 영등포구 여의동로 지하 343,37.527098,126.932901
여의도,Yeouido,5,서울특별시 영등포구 여의나루로 지하 40,37.521624,126.924191
영등포시장,Yeongdeungpo Market,5,서울특별시 영등포구 양산로 지하 200,37.522669,126.905139
오목교,Omokgyo,5,서울특별시 양천구 오목로 지하 342,37.524496,126.875181
올림픽공원,Olympic Park,5,서울특별시 송파구 양재대로 지하 1233,37.516078,127.130848
우장산,Ujangsan,5,서울특별시 강서구 강서로 지하 262,37.548768,126.836318
장한평,Janghanpyeong,5,서울특별시 동대문구 천호대로 지하 405,37.56144000000001,127.064623
천호,Cheonho,5,서울특별시 강동구 천호대로 지하 997,37.538397,127.123572
청구,Cheonggu,5,서울특별시 중구 청구로 지하 77,37.560245,127.013828
행당,Haengdang,5,서울특별시 성동구 행당로 지하 89,37.557322,127.029476
화곡,Hwagok,5,서울특별시 강서구 화곡로 지하 168,37.541513,126.840461
고려대,Korea Univ.,6,서울특별시 성북구 종암로 지하 1,37.590508,127.036296
광흥창,Gwangheungchang,6,서울특별시 마포구 독막로 지하 165,37.547456,126.931993
구산,Gusan,6,서울특별시 은평구 연서로 지하 137-1,37.61137700000001,126.91727
녹사평,Noksapyeong,6,서울특별시 용산구 녹사평대로 지하 195,37.534675,126.986695
대흥,Daeheung,6,서울특별시 마포구 대흥로 지하 85,37.547771,126.942069
독바위,Dokbawi,6,서울특별시 은평구 불광로 지하 129-1,37.618456,126.933031
돌곶이,Dolgoji,6,서울특별시 성북구 화랑로 지하 243,37.610537,127.056431
디지털미디어시티,Digitalmediacity,6,서울특별시 은평구 수색로 지하 175,37.576646,126.900984
마포구청,Mapo-gu Office,6,서울특별시 마포구 월드컵로 지하 190,37.563515,126.903343
망원,Mangwon,6,서울특별시 마포구 월드컵로 지하 77,37.556094,126.910052
버티고개,Beotigogae,6,서울특별시 중구 다산로 지하 38,37.548013,127.007055
보문,Bomun,6,서울특별시 성북구 보문로 지하 116,37.585286,127.019381
봉화산,Bonghwasan,6,서울특별시 중랑구 신내로 지하 232,37.617283,127.091401
상수,Sangsu,6,서울특별시 마포구 독막로 지하 85,37.547716,126.922852
상월곡,Sangwolgok,6,서울특별시 성북구 화랑로 지하 157,37.606377,127.048491
새절,Saejeol,6,서울특별시 은평구 증산로 지하 400,37.591148,126.913629
안암,Anam,6,서울특별시 성북구 인촌로 지하 89,37.586272,127.029005
역촌,Yeokchon,6,서울특별시 은평구 서오릉로 지하 63,37.60602100000001,126.922744
월곡,Wolgok,6,서울특별시 성북구 월곡로 지하 107,37.601948,127.041518
월드컵경기장,World Cup Stadium,6,서울특별시 마포구 월드컵로 지하 240,37.569532,126.899298
응암,Eungam,6,서울특별시 은평구 증산로 지하 477,37.598605,126.915577
이태원,Itaewon,6,서울특별시 용산구 이태원로 지하 177,37.534488,126.994302
증산,Jeungsan,6,서울특별시 은평구 증산로 지하 306,37.583876,126.909645
창신,Changsin,6,서울특별시 종로구 지봉로 지하 112,37.579661,127.015241
태릉입구,Taereung,6,서울특별시 노원구 동일로 지하 992-1,37.617983,127.07512
한강진,Hangangjin,6,서울특별시 용산구 이태원로 지하 287,37.539631,127.001725
화랑대,Hwarangdae,6,서울특별시 노원구 화랑로 지하 510,37.620064,127.08468899999998
효창공원앞,Hyochang park,6,서울특별시 용산구 백범로 지하 287,37.539261,126.961351
강남구청,Gangnam-gu Office,7,서울특별시 강남구 학동로 지하 346,37.517186,127.04128
공릉,Gongneung,7,서울특별시 노원구 동일로 지하 1074,37.625742,127.072896
남구로,Namguro,7,서울특별시 구로구 도림로 지하 7,37.486056,126.887249
남성,Namseong,7,서울특별시 동작구 사당로 지하 218,37.484596,126.971251
내방,Naebang,7,서울특별시 서초구 서초대로 지하 103,37.487618,126.993513
논현,Nonhyeon,7,서울특별시 강남구 학동로 지하 102,37.511093,127.021415
뚝섬유원지,Ttukseom Resort,7,서울특별시 광진구 능동로 10,37.53154,127.066704
마들,Madeul,7,서울특별시 노원구 동일로 지하 1530-1,37.66494,127.057675
먹골,Meokgol,7,서울특별시 중랑구 동일로 지하 901,37.610637,127.077725
면목,Myeonmok,7,서울특별시 중랑구 면목로 지하 407,37.588579,127.087503
반포,Banpo,7,서울특별시 서초구 신반포로 지하 241,37.508178,127.011727
보라매,Boramae,7,서울특별시 동작구 상도로 지하 2,37.499872,126.920428
사가정,Sagajeong,7,서울특별시 중랑구 사가정로 지하 393,37.580894,127.088478
상도,Sangdo,7,서울특별시 동작구 상도로 지하 272,37.502834,126.94791
상봉,Sangbong,7,서울특별시 중랑구 망우로 297,37.596362,127.085032
수락산,Suraksan,7,서울특별시 노원구 동일로 지하 1662,37.67785,127.055315
숭실대입구,Soongsil Univ.,7,서울특별시 동작구 상도로 지하 378,37.496029,126.953822
신대방삼거리,Sindaebangsamgeori,7,서울특별시 동작구 상도로 지하 76,37.499701,126.928276
신풍,Sinpung,7,서울특별시 영등포구 신풍로 지하 27,37.50008,126.90993
어린이대공원,Children's  Grand Park,7,서울특별시 광진구 능동로 지하 210,37.548014,127.074658
용마산,Yongmasan,7,서울특별시 중랑구 용마산로 지하 227,37.573647,127.086727
장승배기,Jangseungbaegi,7,서울특별시 동작구 상도로 지하 188,37.504898,126.93915
중계,Junggye,7,서울특별시 노원구 동일로 지하 1308-1,37.644583,127.064303
중곡,Junggok,7,서울특별시 광진구 능동로 지하 417,37.565923,127.08432
중화,Junghwa,7,서울특별시 중랑구 동일로 지하 797,37.602545,127.079264
천왕,Cheonwang,7,서울특별시 구로구 오리로 지하 1154,37.486637,126.83871299999998
청담,Cheongdam,7,서울특별시 강남구 학동로 지하 508,37.519365,127.05335
하계,Hagye,7,서울특별시 노원구 동일로 지하 1196,37.636352,127.06799
학동,Hak-dong,7,서울특별시 강남구 학동로 지하 180,37.514229,127.031656
강동구청,Gangdong-gu Office,8,서울특별시 강동구 올림픽로 지하 550,37.530341,127.120508
몽촌토성,Mongchontoseong,8,서울특별시 송파구 올림픽로 지하 383,37.517409,127.112359
문정,Munjeong,8,서울특별시 송파구 송파대로 지하 179,37.485855,127.1225
복정,Bokjeong,8,서울특별시 송파구 송파대로 지하 6,37.470047,127.126662
석촌,Seokchon,8,서울특별시 송파구 송파대로 지하 439,37.505431,127.106979
송파,Songpa,8,서울특별시 송파구 송파대로 지하 354,37.499703,127.112183
암사,Amsa,8,서울특별시 강동구 올림픽로 지하 776,37.55021,127.127562
장지,Jangji,8,서울특별시 송파구 송파대로 지하 82,37.478703,127.126191
가양,Gayang,9,서울특별시 강서구 양천로 지하 485,37.561391,126.854456
개화,Gaehwa,9,서울특별시 강서구 개화동로8길 19,37.578608,126.798153
공항시장,Airport Market,9,서울특별시 강서구 방화동로 지하 30,37.563726,126.810678
구반포,Gubanpo,9,서울특별시 서초구 신반포로 지하 17,37.501364,126.987332
국회의사당,National Assembly,9,서울특별시 영등포구 국회대로 지하 758,37.528105,126.917874
노들,Nodeul,9,서울특별시 동작구 노량진로 지하 238,37.512887,126.953222
등촌,Deungchon,9,서울특별시 강서구 공항대로 지하 529,37.550632,126.865689
마곡나루,Magongnaru,9,서울특별시 강서구 마곡중앙5로 지하 2,37.567336,126.829497
봉은사,Bongeunsa,9,서울특별시 강남구 봉은사로 지하 601,37.514219,127.060245
사평,Sapyeong,9,서울특별시 서초구 사평대로 지하 285,37.504206,127.015259
삼성중앙,Samseong Jungang,9,서울특별시 강남구 봉은사로 지하 501,37.513011,127.053282
샛강,Saetgang,9,서울특별시 영등포구 의사당대로 지하 166,37.517274,126.928422
선유도,Seonyudo,9,서울특별시 영등포구 양평로 지하 124,37.53802,126.893525
선정릉,Seonjeongneung,9,서울특별시 강남구 선릉로 지하 580,37.51098,127.043593
신논현,Sinnonhyeon,9,서울특별시 강남구 봉은사로 지하 102,37.504598,127.02506
신목동,Sinmokdong,9,서울특별시 양천구 목동중앙로 지하 217,37.544277,126.88308
신반포,Sinbanpo,9,서울특별시 서초구 신반포로 지하 105,37.503415,126.995925
신방화,Sinbanghwa,9,서울특별시 강서구 방화대로 지하 301,37.567532,126.816601
양천향교,Yangcheon Hyanggyo,9,서울특별시 강서구 양천로 지하 341,37.568381,126.841333
언주,Eonju,9,서울특별시 강남구 봉은사로 지하 201,37.507287,127.033868
염창,Yeomchang,9,서울특별시 강서구 공항대로 지하 631,37.546936,126.87491599999998
증미,Jeungmi,9,서울특별시 강서구 양천로 지하 560,37.557402,126.861939
흑석,Heukseok,9,서울특별시 동작구 현충로 지하 90,37.50877,126.963708
개포동,Gaepo-dong,B,서울특별시 강남구 개포로 지하 420,37.489116,127.06614
구룡,Guryong,B,서울특별시 강남구 개포로 지하 403,37.486839,127.058856
대모산입구,Daemosan,B,서울특별시 강남구 개포로 지하 522,37.491373,127.07272
서울숲,Seoul-forest,B,서울특별시 성동구 왕십리로 지하 77,37.543617,127.044707
압구정로데오,Apgujeongrodeo,B,서울특별시 강남구 압구정로 지하 402,37.527381,127.040534
한티,Hanti,B,서울특별시 강남구 선릉로 지하 228,37.496237,127.052873
망우,Mangu,G,서울특별시 중랑구 망우로55길 11-10,37.59955,127.09190900000002
신내,Sinnae,G,서울특별시 중랑구 신내역로 20,37.612887,127.103218
중랑,Jungnang,G,서울특별시 중랑구 중랑역로 9,37.594917,127.07611599999998
가좌,Gajwa,K,서울특별시 서대문구 수색로 27,37.568491,126.915487
서강대,Sogang Univ.,K,서울특별시 마포구 서강로 지하 118,37.551881,126.935711
서빙고,Seobinggo,K,서울특별시 용산구 서빙고로 238,37.519594,126.988537
서울(경의중앙선),Seoul (Gyeong-ui),K,서울특별시 용산구 한강대로 405,37.556328,126.969522
수색,Susaek,K,서울특별시 은평구 수색로 261-1,37.580842,126.89561100000002
신촌(경의중앙선),Sinchon(Gyeong-ui),K,서울특별시 서대문구 신촌역로 30,37.559783,126.942319
양원,Yangwon,K,서울특별시 중랑구 송림길 147,37.606596,127.107906
응봉,Eungbong,K,서울특별시 성동구 고산자로 123,37.54994600000001,127.03453799999998
한남,Hannam,K,서울특별시 용산구 독서당로6길 12-13,37.52943,127.009169
양재시민의숲,Yangjae Citizen's Forest,S,서울특별시 서초구 매헌로 지하 116,37.470023,127.03842
청계산입구,Cheonggyesan,S,서울특별시 서초구 청계산로 지하 179,37.447211,127.055664
419민주묘지,April 19th National Cemetery,UI,서울 강북구 우이동 72-223,37.649545199285605,127.013620582593
가오리,Gaori,UI,서울 강북구 수유동 338-47,37.6416271253072,127.01678779552799
북한산보국문,Bukhansan Bogungmun,UI,서울 성북구 보국문로 지하 88,37.6121461272569,127.008208009279
북한산우이,Bukhansan Ui,UI,서울 강북구 우이동 16-27,37.6628257781604,127.012716319367
삼양,Samyang,UI,서울 강북구 미아동 791-4755,37.626938877023704,127.018147722994
삼양사거리,Samyang Sageori,UI,서울 강북구 미아동 745-149,37.6213073218688,127.02050243487601
솔밭공원,Solbat Park,UI,서울 강북구 우이동 57-38,37.6559872696309,127.01323645161999
솔샘,Solsaem,UI,서울 강북구 솔샘로 지하 189,37.6202522935181,127.013408969328
정릉,Jeongneung,UI,서울 성북구 정릉동 966-330,37.6026413699369,127.01350568970699
화계,Hwagye,UI,서울 강북구 수유동 472-691,37.6340164940984,127.01748169861901
